Date,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DOW,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,RTX,TRV,UNH,V,VZ,WBA,WMT,XOM
2020-03-23,224.3699951171875,68.95999908447266,105.62000274658203,91.8499984741211,34.599998474121094,54.220001220703125,85.76000213623047,26.579999923706055,134.97000122070312,162.38999938964844,94.7699966430664,49.58000183105469,111.13999938964844,79.02999877929688,37.560001373291016,137.10000610351562,117.87000274658203,66.4000015258789,135.97999572753906,62.79999923706055,28.489999771118164,97.69999694824219,47.16802978515625,88.36000061035156,194.86000061035156,135.74000549316406,50.310001373291016,43.61000061035156,114.27999877929688,31.450000762939453
2020-03-24,246.8800048828125,84.05000305175781,127.68000030517578,101.33999633789062,38.599998474121094,66.55000305175781,98.12000274658203,28.469999313354492,153.60000610351562,184.72000122070312,105.4800033569336,52.400001525878906,119.18000030517578,88.43000030517578,39.45000076293945,161.9499969482422,132.72000122070312,69.05000305175781,148.33999633789062,72.33000183105469,29.700000762939453,103.2699966430664,54.60037612915039,93.73999786376953,219.8000030517578,154.52999877929688,49.9900016784668,45.25,115.02999877929688,35.439998626708984
2020-03-25,245.52000427246094,90.16999816894531,158.72999572753906,104.66999816894531,37.66999816894531,69.2699966430664,100.7300033569336,30.3799991607666,155.1300048828125,181.75999450683594,105.8499984741211,51.2599983215332,119.4000015258789,91.7300033569336,41.61000061035156,162.97999572753906,131.5399932861328,68.22000122070312,146.9199981689453,79.01000213623047,29.75,100.91999816894531,60.53492736816406,92.18000030517578,234.49000549316406,161.77999877929688,49.939998626708984,41.439998626708984,109.4000015258789,37.290000915527344
2020-03-26,258.44000244140625,93.29000091552734,180.5500030517578,110.5,40.58000183105469,76.37999725341797,105.36000061035156,29.68000030517578,165.7899932861328,195.2100067138672,112.88999938964844,55.540000915527344,126.56999969482422,98.12000274658203,44.290000915527344,167.35000610351562,136.17999267578125,73.52999877929688,156.11000061035156,84.30000305175781,31.75,107.37999725341797,65.85273742675781,98.66999816894531,255.38999938964844,168.8800048828125,53.540000915527344,45.66999816894531,109.81999969482422,38.81999969482422
2020-03-27,247.74000549316406,88.7300033569336,162.0,105.44000244140625,38.81999969482422,68.77999877929688,96.4000015258789,28.559999465942383,158.33999633789062,190.5500030517578,108.02999877929688,52.369998931884766,123.16000366210938,91.12999725341797,42.810001373291016,164.00999450683594,133.24000549316406,71.7300033569336,149.6999969482422,83.2300033569336,30.899999618530273,110.16999816894531,61.13908004760742,99.94999694824219,242.4499969482422,161.55999755859375,52.77000045776367,44.0,109.58000183105469,36.95000076293945
2020-03-30,254.80999755859375,90.2699966430664,152.27999877929688,111.70999908447266,40.31999969482422,71.94999694824219,99.80000305175781,28.649999618530273,159.6199951171875,196.10000610351562,112.93000030517578,55.4900016784668,133.00999450683594,93.5,45.0,168.1300048828125,137.74000549316406,76.94999694824219,160.22999572753906,85.37999725341797,32.66999816894531,115.0,61.98237991333008,102.58999633789062,251.27999877929688,165.57000732421875,54.77000045776367,45.15999984741211,115.19000244140625,37.5
2020-03-31,254.2899932861328,85.61000061035156,149.13999938964844,116.04000091552734,39.310001373291016,72.45999908447266,96.5999984741211,29.239999771118164,154.58999633789062,186.7100067138672,110.93000030517578,54.119998931884766,131.1300048828125,90.02999877929688,44.25,165.35000610351562,136.50999450683594,76.94000244140625,157.7100067138672,82.73999786376953,32.63999938964844,110.0,59.3643798828125,99.3499984741211,249.3800048828125,161.1199951171875,53.72999954223633,45.75,113.62000274658203,37.970001220703125
2020-04-01,240.91000366210938,77.83999633789062,130.6999969482422,111.3499984741211,38.33000183105469,68.55999755859375,94.91999816894531,27.040000915527344,145.2899932861328,178.6300048828125,105.13999938964844,51.880001068115234,128.80999755859375,84.36000061035156,42.119998931884766,158.1699981689453,133.13999938964844,73.80000305175781,152.11000061035156,79.2300033569336,31.75,109.33000183105469,57.50157165527344,95.19999694824219,237.32000732421875,153.11000061035156,52.91999816894531,43.029998779296875,114.13999938964844,37.529998779296875
2020-04-02,244.92999267578125,76.66000366210938,123.2699966430664,116.73999786376953,39.79999923706055,76.12000274658203,96.97000122070312,28.030000686645508,149.92999267578125,181.30999755859375,110.0,54.349998474121094,133.14999389648438,87.51000213623047,43.95000076293945,161.5,137.91000366210938,76.87000274658203,155.25999450683594,80.13999938964844,32.869998931884766,114.4000015258789,54.12838363647461,97.19000244140625,240.44000244140625,157.38999938964844,55.25,40.31999969482422,118.6500015258789,40.400001525878906
2020-04-03,241.41000366210938,73.5999984741211,124.5199966430664,114.66999816894531,39.060001373291016,75.11000061035156,93.87999725341797,27.969999313354492,146.92999267578125,178.6999969482422,106.33999633789062,54.130001068115234,134.1699981689453,84.05000305175781,43.83000183105469,160.3300018310547,133.7899932861328,76.25,153.8300018310547,78.86000061035156,33.63999938964844,115.08000183105469,49.93000030517578,93.88999938964844,229.49000549316406,151.85000610351562,54.70000076293945,40.720001220703125,119.4800033569336,39.209999084472656
2020-04-06,262.4700012207031,83.87000274658203,148.77000427246094,120.43000030517578,41.43000030517578,80.38999938964844,99.58000183105469,30.540000915527344,158.22999572753906,191.3300018310547,114.81999969482422,58.43000030517578,139.75999450683594,89.45999908447266,46.66999816894531,177.0399932861328,140.6999969482422,80.30999755859375,165.27000427246094,84.62999725341797,34.56999969482422,117.80999755859375,57.560001373291016,98.9800033569336,248.33999633789062,169.44000244140625,56.70000076293945,42.630001068115234,126.06999969482422,40.470001220703125
